-0.9626,7.5403,-0.5724,-3.6368,-4.5917,10.0681,-5.6816,-5.8396,6.0236,-0.7875,-2.5990
-0.4067,7.2956,-0.7195,-4.5495,-1.9023,9.1612,-5.7507,-4.8608,5.5236,-3.2573,-1.8133
-1.9321,3.4040,-1.6279,-9.9915,-7.1524,-0.6751,-9.3389,-3.4245,8.3276,-3.8222,-3.7307
-5.0485,10.4544,5.5042,10.5971,-4.3470,-9.1527,7.7245,-7.8383,-9.8023,0.7996,-8.0826
-2.3281,4.2471,-0.8386,-7.7549,-7.1890,-1.3090,-8.9342,-3.8278,8.4505,-4.0044,-4.0869
1.7999,1.1123,4.7557,7.1323,-8.9596,-2.6029,-0.7020,2.2333,2.8796,-1.8032,-3.5543
-0.1851,-0.2895,5.8976,7.0085,-8.8534,-3.1448,-2.1227,4.7639,0.5728,1.3704,-3.5704
-2.7699,9.3756,5.1315,10.9011,-4.8331,-5.6563,7.1777,-8.9843,-8.5405,1.8569,-8.7722
4.6644,-7.3974,-5.8128,0.2882,-9.0095,-8.8594,-6.8342,-4.7492,9.7742,7.5802,3.6511
1.1938,6.4060,-4.4094,-9.4194,-8.2297,-1.9258,-3.9914,-4.5198,-11.4655,2.0446,3.8203
-2.6678,6.1727,-1.1525,-3.2314,-3.4816,9.9375,-6.8488,-5.1978,3.0340,-4.6730,-1.1212
1.3392,-0.6185,7.0469,6.0773,-7.0070,-4.4057,-2.0281,4.1119,1.9739,0.9373,-2.1598
-0.5294,6.4119,-1.9141,-10.4542,-6.8543,0.5251,-2.2581,-4.5934,-9.4408,0.8843,3.0018
-1.5585,6.9239,-0.0397,-4.4986,-2.7679,9.9056,-6.4415,-5.1931,3.2579,-5.2026,-0.3657
-3.6811,1.0078,-1.7381,-8.9081,-7.1383,-1.7872,-8.8045,-3.4756,8.3694,-4.7356,-5.3147
-1.0444,2.6870,0.3519,-8.6970,-6.0858,-2.5319,-10.1710,-3.5164,8.4980,-4.6305,-6.3035
-4.8844,9.6928,6.5977,9.3820,-4.2571,-9.5265,8.1270,-8.9168,-10.4509,0.4833,-9.5448
